,word,pronounciation,definition,part of speech,sentence_1_kanji,sentence_1_hiragana,sentence_1_english
55,どこ,,where,Interrogative,あの本をどこに置きましたか。,あの ほん を どこ に おきました か。,Where did you put that book?
56,部屋,へや,room,Noun,私の部屋は2階にあります。,わたし の へや は 2 かい に あります。,My room is on the second floor.
57,若い,わかい,young,Adjective,彼はまだ若いです。,かれ は まだ わかい です。,He's still young.
58,車,くるま,"car, automobile",Noun,弟が車を買った。,おとうと が くるま を かった。,My younger brother bought a car.
59,置く,おく,"put, place",Verb,彼はかばんをいすの上に置きました。,かれ は かばん を いす の うえ に おきました。,He put the bag on the chair.
60,住む,すむ,"live, reside",Verb,彼は会社の近くに住んでいる。,かれ は かいしゃ の ちかく に すんで いる。,He lives near his office.
61,働く,はたらく,work,Verb,姉は銀行で働いています。,あね は ぎんこう で はたらいて います。,My big sister works at a bank.
62,難しい,むずかしい,difficult,Adjective,この本は難しいですね。,この ほん は むずかしい です ね。,This book is difficult.
63,先生,せんせい,teacher (colloquial),Noun,私は日本語の先生になりたいです。,わたし は にほん ご の せんせい に なりたい です。,I want to become a Japanese teacher.
64,立つ,たつ,"stand, rise",Verb,彼はステージに立った。,かれ は ステージ に たった。,He stood on stage.
65,呼ぶ,よぶ,"call, name",Verb,ウェイターを呼びましょう。,ウェイター を よびましょう。,Let's call the waiter.
66,大学,だいがく,"university, college",Noun,大学に行ってもっと勉強したいです。,だいがく に いって もっと べんきょう したい です。,I want to go to college and study more.
67,安い,やすい,"cheap, inexpensive",Adjective,この服はとても安かった。,この ふく は とても やすかった。,These clothes were very cheap.
68,もっと,,more,Adverb,もっと近くに来てください。,もっと ちかく に きて ください。,Please come closer.
69,帰る,かえる,go back home,Verb,家に帰ろう。,うち に かえろう。,Let's go home.
70,分かる,わかる,understand,Verb,質問の意味は分かりましたか。,しつもん の いみ は わかりました か。,Did you understand the meaning of the question?
71,広い,ひろい,"wide, big",Adjective,彼の家はとても広い。,かれ の いえ は とても ひろい。,His house is very big.
72,数,かず,number,Noun,グラスの数が足りません。,グラス の かず が たりません。,We don't have enough number of glasses.
73,近い,ちかい,"near, close",Adjective,駅はここから近いです。,えき は ここ から ちかい です。,The station is near here.
74,そこ,,there,Pronoun,そこに座ってください。,そこ に すわって ください。,Please sit there.
75,走る,はしる,run,Verb,彼は毎晩3キロ走っています。,かれ は まいばん 3 キロ はしって います。,Every night he runs three kilometers.
76,入れる,いれる,put in,Verb,彼はかばんに手帳を入れた。,かれ は かばん に てちょう を いれた。,He put the notebook in his bag.
77,教える,おしえる,"teach, tell",Verb,彼は数学を教えています。,かれ は すうがく を おしえて います。,He teaches mathematics.
78,歩く,あるく,"walk, go on foot",Verb,駅まで歩きましょう。,えき まで あるきましょう。,Let's walk to the station.
79,会う,あう,meet,Verb,また会いましょう。,また あいましょう。,Let's meet again.
80,書く,かく,write,Verb,彼に手紙を書きました。,かれ に てがみ を かきました。,I wrote him a letter.
81,頭,あたま,head,Noun,今朝から頭が痛い。,けさ から あたま が いたい。,I've had a headache since this morning.
82,売る,うる,sell,Verb,彼は家を売った。,かれ は いえ を うった。,He sold the house.
83,大好き,だいすき,like (something) a lot,Adjectival Noun,私は犬が大好きだ。,わたし は いぬ が だいすき だ。,I like dogs a lot.
84,体,からだ,"body, physique, physical condition",Noun,私は体が丈夫だ。,わたし は からだ が じょうぶ だ。,I'm physically strong.
85,直ぐ,すぐ,"at once, soon",Adverb,直ぐ行きます。,すぐ いきます。,I'll go right away.
86,飛ぶ,とぶ,fly,Verb,鳥が飛んでいます。,とり が とんで います。,There's a bird flying.
87,とても,,very (colloquial),Adverb,この本はとてもおもしろい。,この ほん は とても おもしろい。,This book is very interesting.
88,誰,だれ,who,Interrogative,誰と会ってみたいですか。,だれ と あって みたい です か。,Who would you like to meet?
89,好き,すき,"favorite, liked",Adjectival Noun,私はワインが好きです。,わたし は ワイン が すき です。,I like wine.
